"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	214629	Unreliable
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	275981	Unreliable
	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4162	Unreliable
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	352249	Suppressed
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1561960	Suppressed
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1088578	Suppressed
	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	14282	Unreliable
	"2010"	"2010"	"Black or African American"	"2054-5"	"Georgia"	"13"	23	3057817	0.75
	"2010"	"2010"	"Black or African American"	"2054-5"	"New York"	"36"	30	3523196	0.85
	"2010"	"2010"	"Black or African American"	"2054-5"	"Texas"	"48"	25	3156011	0.79
	"2010"	"2010"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	71260	Unreliable
	"2010"	"2010"	"White"	"2106-3"	"Georgia"	"13"	13	6223554	Unreliable
	"2010"	"2010"	"White"	"2106-3"	"New York"	"36"	33	14078317	0.23
	"2010"	"2010"	"White"	"2106-3"	"Texas"	"48"	74	20624991	0.36
	"2010"	"2010"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1763290	Suppressed
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	55612	Unreliable
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	216771	Unreliable
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	289314	Unreliable
	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4269	Unreliable
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	365731	Suppressed
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1599823	Suppressed
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1133209	Suppressed
	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	15195	Unreliable
	"2011"	"2011"	"Black or African American"	"2054-5"	"Georgia"	"13"	28	3113361	0.90
	"2011"	"2011"	"Black or African American"	"2054-5"	"New York"	"36"	22	3556174	0.62
	"2011"	"2011"	"Black or African American"	"2054-5"	"Texas"	"48"	42	3231968	1.30
	"2011"	"2011"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	73596	Unreliable
	"2011"	"2011"	"White"	"2106-3"	"Georgia"	"13"	18	6280506	Unreliable
	"2011"	"2011"	"White"	"2106-3"	"New York"	"36"	38	14092429	0.27
	"2011"	"2011"	"White"	"2106-3"	"Texas"	"48"	85	21020190	0.40
	"2011"	"2011"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1762304	Suppressed
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	56183	Unreliable
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	218646	Unreliable
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	Suppressed	292064	Suppressed
	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4279	Unreliable
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	0	383205	Unreliable
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1650175	Suppressed
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1192519	Suppressed
	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	15608	Unreliable
	"2012"	"2012"	"Black or African American"	"2054-5"	"Georgia"	"13"	24	3163293	0.76
	"2012"	"2012"	"Black or African American"	"2054-5"	"New York"	"36"	25	3583475	0.70
	"2012"	"2012"	"Black or African American"	"2054-5"	"Texas"	"48"	50	3313287	1.51
	"2012"	"2012"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	73967	Unreliable
	"2012"	"2012"	"White"	"2106-3"	"Georgia"	"13"	16	6317264	Unreliable
	"2012"	"2012"	"White"	"2106-3"	"New York"	"36"	30	14117965	0.21
	"2012"	"2012"	"White"	"2106-3"	"Texas"	"48"	104	21261333	0.49
	"2012"	"2012"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1761559	Suppressed
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	56461	Unreliable
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	220582	Unreliable
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	296644	Unreliable
	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4471	Unreliable
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	399271	Suppressed
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1697670	Suppressed
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1252181	Suppressed
	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	16238	Unreliable
	"2013"	"2013"	"Black or African American"	"2054-5"	"Georgia"	"13"	38	3206522	1.19
	"2013"	"2013"	"Black or African American"	"2054-5"	"New York"	"36"	24	3606924	0.67
	"2013"	"2013"	"Black or African American"	"2054-5"	"Texas"	"48"	42	3386416	1.24
	"2013"	"2013"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	75151	Unreliable
	"2013"	"2013"	"White"	"2106-3"	"Georgia"	"13"	43	6329913	0.68
	"2013"	"2013"	"White"	"2106-3"	"New York"	"36"	35	14125951	0.25
	"2013"	"2013"	"White"	"2106-3"	"Texas"	"48"	120	21512952	0.56
	"2013"	"2013"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1758444	Suppressed
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	56875	Unreliable
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	223126	Unreliable
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	302757	Unreliable
	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4608	Unreliable
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	421265	Suppressed
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1767565	Suppressed
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1331159	Suppressed
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	16860	Unreliable
	"2014"	"2014"	"Black or African American"	"2054-5"	"Georgia"	"13"	47	3260440	1.44
	"2014"	"2014"	"Black or African American"	"2054-5"	"New York"	"36"	29	3648167	0.79
	"2014"	"2014"	"Black or African American"	"2054-5"	"Texas"	"48"	37	3471829	1.07
	"2014"	"2014"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	75917	Unreliable
	"2014"	"2014"	"White"	"2106-3"	"Georgia"	"13"	55	6358763	0.86
	"2014"	"2014"	"White"	"2106-3"	"New York"	"36"	30	14107369	0.21
	"2014"	"2014"	"White"	"2106-3"	"Texas"	"48"	108	21851213	0.49
	"2014"	"2014"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1752941	Suppressed
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	57450	Unreliable
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	224341	Unreliable
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	309742	Unreliable
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4654	Unreliable
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	444592	Suppressed
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1826093	Suppressed
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1412908	Suppressed
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	17474	Unreliable
	"2015"	"2015"	"Black or African American"	"2054-5"	"Georgia"	"13"	48	3320419	1.45
	"2015"	"2015"	"Black or African American"	"2054-5"	"New York"	"36"	27	3665284	0.74
	"2015"	"2015"	"Black or African American"	"2054-5"	"Texas"	"48"	54	3557565	1.52
	"2015"	"2015"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	76375	Unreliable
	"2015"	"2015"	"White"	"2106-3"	"Georgia"	"13"	47	6392399	0.74
	"2015"	"2015"	"White"	"2106-3"	"New York"	"36"	30	14080073	0.21
	"2015"	"2015"	"White"	"2106-3"	"Texas"	"48"	99	22188899	0.45
	"2015"	"2015"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1745625	Suppressed
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	58544	Unreliable
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	225659	Unreliable
